id;name;priceDate;price;isBudgetBrand;quantity;unit;isWeighted;isBio;isAvailable
4262518320001;Scary Masker Slikmix, 175 GR / Polen;2025-11-01;60.0;false;175;g;false;false;true
5714303005208;Sequoia Double Ipa 8,0%, 44 CL / Danmark;2025-11-09;39.95;false;440;ml;false;false;true
4005900100054;Nivea Eye Make-Up Remover, 125 ML / Tyskland;2025-10-03;35.0;false;125;ml;false;false;true
5710357000848;CRISP MIX SALAT, 75 GR / Danmark;2024-02-20;16.0;false;75;g;false;false;true
5701979997470;KIMS CANCUN TACO, 170 GR / Danmark;2024-03-02;15.0;false;170;g;false;false;true
500;Æbler Granat, 1 ST / Se opr.land på varen;2025-10-16;12.0;false;1;stk;false;false;true
3500610166068;L. Bresson Demi-Sec 11,5%, 75 CL / Frankrig;2025-09-26;59.95;false;750;ml;false;false;true
8713339151542;HN BEGONIA GRANDFLORA, 1 ST / Holland;2024-06-03;22.48;false;1;stk;false;false;true
5704250000067;Fanø Julebryg, 50 Cl / Danmark;2024-12-21;30.0;false;500;ml;false;false;true
5740002909066;Jacobsen Mystery Dipa 7,5%, 44 CL / Danmark;2025-09-19;25.0;false;440;ml;false;false;true
5708184131804;Taskeparaply, Sort, 1 ST / Kina;2024-12-19;39.95;false;1;stk;false;false;true
7314881433509;Vandfarver 12 Stk, 12 St / Kina;2024-11-19;30.0;false;12;stk;false;false;true
8032591181662;Rosso Di Montalcino 21 15, 75 CL / Italien;2025-09-17;152.96;false;750;ml;false;false;true
3760004441250;Tropez Sand Rose 12,5%, 75 CL / Frankrig;2025-08-10;70.0;false;750;ml;false;false;true
5703161804146;EASIS CHOKO COOKIES U.T.S., 132 GR / Tjekkiet;2024-03-07;20.0;false;132;g;false;false;true
8713339151535;HN CALLA BLACK MAGIC, 1 ST / Holland;2024-06-04;22.48;false;1;stk;false;false;true
5712515000035;ÆRTER I BAKKE, 300 GR / Danmark;2024-06-12;28.0;false;300;g;false;false;true
5201671802497;Gaea Kala Oliv. M.Sten Øko, 150 GR / Grækenland;2025-10-15;36.51;false;150;g;false;true;true
7322540887624;Tena Men Pants Medium, 9 ST / Polen;2025-10-14;110.0;false;9;stk;false;false;true
5703161201754;Easis Mørk Chokolade U.T.S, 85 GR / Danmark;2025-04-25;20.0;false;85;g;false;false;true
5701246266209;Herkules Tykke Ski, 1000 _ / Danmark;2025-11-14;16.0;false;1000;_;false;false;true
8436576360729;Peciolo Albarino 13%, 75 CL / Spanien;2025-10-20;85.0;false;750;ml;false;false;true
7312360063452;WB PRAGTRIDDERSPORE ASTOLA, 1 ST / Sverige;2024-07-05;16.48;false;1;stk;false;false;true
5703161201761;Easis Lys Chokolade U.T.S, 85 GR / Danmark;2025-04-26;20.0;false;85;g;false;false;true
5712515000028;Ærter I Ps., 700 GR / Danmark;2025-08-07;35.0;false;700;g;false;false;true
5056025459380;BREWDOG PLANET PALE 4,3%, 50 CL / England;2024-02-07;24.95;false;500;ml;false;false;true
5741000230268;Albani Blå Julebryg 18-Pak, 594 CL / Danmark;2025-01-09;80.0;false;5940;ml;false;false;true
5774540916705;A.B. MINI MARCIPANBRØD, 190 GR / Danmark;2023-12-29;55.0;false;190;g;false;false;true
